character,pinyin,period,type,complexity,dataset,image_ID,dropdown_label
一,yi1,Bronze,pictologic,70.81407109321876,hzy,B00015,一 (yi1)
一,yi1,Oracle,pictologic,68.138598964963,hzy,J00002,一 (yi1)
一,yi1,Seal,pictologic,69.26199618732413,hzy,S00001,一 (yi1)
丁,ding1,Bronze,pictographic,71.90473934845683,hzy,B20301,丁 (ding1)
丁,ding1,Oracle,pictographic,221.7488788794432,hzy,J30232,丁 (ding1)
丁,ding1,Seal,pictographic,122.04582135951622,hzy,S10946,丁 (ding1)
七,qi1,Bronze,pictologic,118.14766865899632,hzy,B19913,七 (qi1)
七,qi1,Oracle,pictologic,123.21270057489522,hzy,J29819,七 (qi1)
七,qi1,Seal,pictologic,122.49848359388974,hzy,S10922,七 (qi1)
万,wan4,Bronze,other,288.57301146007234,hzy,B20006,万 (wan4)
万,wan4,Oracle,other,184.39338028975675,hzy,J29856,万 (wan4)
丈,zhang4,Seal,pictographic,213.5933310950504,hzy,S01638,丈 (zhang4)
三,san1,Bronze,pictologic,187.6224005065355,hzy,B00359,三 (san1)
三,san1,Oracle,pictologic,178.63226110906152,hzy,J00553,三 (san1)
三,san1,Seal,pictologic,151.37306146399533,hzy,S00097,三 (san1)
上,shang4,Bronze,pictologic,118.68315687858504,hzy,B00109,上 (shang4)
上,shang4,Oracle,pictologic,105.89884312588951,hzy,J00025,上 (shang4)
上,shang4,Seal,pictologic,163.28538668365584,hzy,S00008,上 (shang4)
下,xia4,Bronze,pictologic,108.37596593172907,hzy,B00156,下 (xia4)
下,xia4,Oracle,pictologic,110.89311985549918,hzy,J00162,下 (xia4)
下,xia4,Seal,pictologic,158.1842242524817,hzy,S00016,下 (xia4)
不,bu4,Bronze,pictographic,222.4557044068618,hzy,B16071,不 (bu4)
不,bu4,Oracle,pictographic,189.20701871443225,hzy,J25537,不 (bu4)
不,bu4,Seal,pictographic,246.1220844704088,hzy,S08670,不 (bu4)
与,yu4,Bronze,pictosynthetic,283.5905716207519,hzy,B03481,与 (yu4)
与,yu4,Seal,pictosynthetic,293.97532882508096,hzy,S01999,与 (yu4)
丑,chou3,Bronze,other,188.65946982224443,hzy,B21028,丑 (chou3)
丑,chou3,Oracle,other,159.28751227232823,hzy,J30866,丑 (chou3)
丑,chou3,Seal,other,204.11711539239212,hzy,S11002,丑 (chou3)
专,zhuan1,Oracle,pictosynthetic,237.56606924515248,hzy,J06825,专 (zhuan1)
专,zhuan1,Seal,pictosynthetic,318.9734808944848,hzy,S02270,专 (zhuan1)
且,qie3,Bronze,pictographic,246.69947944505833,hzy,B19435,且 (qie3)
且,qie3,Oracle,pictographic,189.84688435970935,hzy,J29078,且 (qie3)
且,qie3,Seal,pictographic,253.52485668930143,hzy,S10640,且 (qie3)
世,shi4,Bronze,pictologic,234.21306019225867,hzy,B02969,世 (shi4)
世,shi4,Seal,pictologic,267.65358336590094,hzy,S01647,世 (shi4)
丘,qiu1,Bronze,pictographic,248.3081280098129,hzy,B12631,丘 (qiu1)
丘,qiu1,Oracle,pictographic,267.02640500159464,hzy,J19612,丘 (qiu1)
丘,qiu1,Seal,pictographic,309.02806857162966,hzy,S05951,丘 (qiu1)
丙,bing3,Bronze,pictographic,254.5126898765712,hzy,B20273,丙 (bing3)
丙,bing3,Oracle,pictographic,248.06810442583657,hzy,J30103,丙 (bing3)
丙,bing3,Seal,pictographic,264.86923537598454,hzy,S10945,丙 (bing3)
业,ye4,Bronze,pictographic,262.3301597303278,hzy,B03225,业 (ye4)
业,ye4,Seal,pictographic,312.8034679435463,hzy,S01955,业 (ye4)
丛,cong2,Seal,pictosynthetic,375.9084490126253,hzy,S01957,丛 (cong2)
东,dong1,Bronze,pictographic,276.20034165010964,hzy,B08850,东 (dong1)
东,dong1,Oracle,pictographic,211.1102918315888,hzy,J14293,东 (dong1)
东,dong1,Seal,pictographic,275.5261925386108,hzy,S04417,东 (dong1)
丝,si1,Bronze,pictosynthetic,310.6861411857688,hzy,B18513,丝 (si1)
丝,si1,Oracle,pictosynthetic,236.08596245870842,hzy,J27968,丝 (si1)
丝,si1,Seal,pictosynthetic,372.7333498990005,hzy,S09852,丝 (si1)
两,liang3,Bronze,pictographic,282.49922121547365,hzy,B11989,两 (liang3)
两,liang3,Seal,pictographic,326.0079887196788,hzy,S05489,两 (liang3)
严,yan2,Seal,pictosynthetic,383.92337666264046,hzy,S01083,严 (yan2)
丧,sang4,Bronze,pictosynthetic,337.36268118684933,hzy,B01722,丧 (sang4)
丧,sang4,Seal,pictosynthetic,307.7568230257018,hzy,S01089,丧 (sang4)
个,ge4,Seal,other,366.5502520295013,hzy,S03378,个 (ge4)
中,zhong1,Bronze,pictologic,222.15804054276742,hzy,B00626,中 (zhong1)
中,zhong1,Oracle,pictologic,210.51996275884255,hzy,J00886,中 (zhong1)
中,zhong1,Seal,pictologic,156.41753206730277,hzy,S00273,中 (zhong1)
丰,feng1,Bronze,pictographic,324.80345335102703,hzy,B07375,丰 (feng1)
丰,feng1,Oracle,pictographic,322.91419602201984,hzy,J12149,丰 (feng1)
丰,feng1,Seal,pictographic,447.1450682950691,hzy,S03559,丰 (feng1)
