Component	Strokes	CompositionType	LeftComponent	LeftStrokes	RightComponent	RightStrokes	Signature	Notes	Section
一	1	一	一	1	*	0	M	/	*
丁	2	吕	一	1	亅	1	MN	/	一
丂	2	一	丂	2	*	0	MVS	/	一
七	2	一	七	2	*	0	JU	/	一
丄	2	一	丄	2	*	0	LM	/	一
丅	2	一	丅	2	*	0	ML	/	一
丆	2	吕	一	2	丿	0	MH	/	一
万	3	一	万	3	*	0	MS	/	一
丈	3	一	丈	3	*	0	JK	/	一
三	3	回	二	2	一	1	MMM	/	一
上	3	一	上	3	*	0	YM	/	一
下	3	吕	一	1	卜	2	MY	/	一
丌	3	一	丌	3	*	0	ML	/	一
不	4	一	不	4	*	0	MF	/	一
与	4	一	与	4	*	0	YSM	/	一
丏	4	一	丏	4	*	0	MLVS	/	一
丐	4	一	丐	4	*	0	MYVS	/	一
丑	4	一	丑	4	*	0	NG	/	一
丒	4	吕	刃	3	一	1	SKM	/	一
专	4	一	专	4	*	0	QNI	/	一
且	5	一	且	5	*	0	BM	/	一
丕	5	吕	不	4	一	1	MFM	/	一
世	4	一	世	4	*	0	PT	/	一
丗	4	一	丗	4	*	0	TJ	/	一
丘	5	一	丘	5	*	0	OM	/	一
丙	5	吕	一	1	内	4	MOB	/	一
业	5	一	业	5	*	0	TC	/	一
丛	5	咒	人	2	一	1	OOM	/	一
东	5	一	东	5	*	0	KD	/	一
丝	5	一	丝	5	*	0	VVM	/	一
丞	6	吕	氶	5	一	1	NEM	/	一
丟	6	吕	王	4	厶	2	MGI	/	一
丠	6	吕	北	5	一	1	LPM	/	一
両	6	一	両	6	*	0	MUB	/	一
丢	6	吕	壬	4	厶	2	HGI	/	一
丣	7	一	丣	7	*	0	MLLS	/	一
两	7	一	两	7	*	0	MOOB	/	一
严	7	一	严	7	*	0	MTCH	/	一
並	8	吕	丷	2	亚	6	TTC	/	一
丧	8	一	丧	8	*	0	GCV	/	一
丨	1	一	丨	1	*	0	L	/	*
丩	2	吅	丨	1	*	1	VL	/	丨
个	3	吕	人	2	丨	1	OL	/	丨
丫	3	一	丫	3	*	0	CL	/	丨
丬	3	吅	冫	2	丨	1	LIM	/	丨
中	4	+	口	3	丨	1	L	/	丨
丮	4	吕	乁	1	㐄	3	NQ	/*	丨
丯	4	+	彡	3	丨	1	QJ	/	丨
丰	4	一	丰	4	*	0	QJ	/	丨
丱	5	一	丱	5	*	0	VLLLM	/	丨
串	7	+	吕	6	丨	1	LL	/	丨
丳	8	+	串	6	丿	2	LLWW	/	丨
临	9	吅	丩	2	2丶4	7	LLOA	/?	丨
丵	10	吕	业	5	𢆉	5	TCTJ	/	丨
丶	1	一	丶	1	*	0	I	/	*
丷	2	一	丷	2	*	0	IH	/	丶
丸	3	+	九	2	丶	1	KNI	/	丶
丹	4	一	丹	4	*	0	BY	/	丶
为	4	+	力	2	丷	2	IKSI	/	丶
主	5	+	丶	1	王	4	YG	/	丶
丼	5	+	井	4	丶	1	TTI	/	丶
丽	7	吕	一	1	卪卪	6	MBIB	/?	丶
举	9	吕	兴	6	㐄	3	FCQ	/*	丶
丿	1	一	丿	1	*	0	H	/	*
乀	1	一	乀	1	*	0	MO	/	丿
乁	1	一	乁	1	*	0	MO	/	丿
乂	2	一	乂	2	*	0	K	/	丿
乃	2	一	乃	2	*	0	NHS	/	丿
乄	2	一	乄	2	*	0	KU	/	丿
久	3	一	久	3	*	0	NO	/	丿
乆	3	一	乆	3	*	0	VO	/	丿
乇	3	吕	丿	1	七	2	HP	/	丿
么	3	吕	丿	1	厶	2	HI	/	丿
义	3	+	乂	2	丶	1	IK	/	丿
乊	3	吕	丿	1	丷	2	HC	/	丿
之	3	一	之	3	*	0	INO	/	丿
乌	4	一	乌	4	*	0	PVSM	/	丿
乍	5	一	乍	5	*	0	OS	/	丿
乎	5	一	乎	5	*	0	HFD	/	丿
乏	4	吕	丿	1	之	3	HINO	/	丿
乐	5	一	乐	5	*	0	HVD	/	丿
乑	6	一	乑	6	*	0	OHHO	/	丿
乒	6	+	丘	5	丿	1	OMH	/	丿
乓	6	+	丘	5	丶	1	OMI	/	丿
乔	6	吕	丿	1	夰	5	HKLL	/	丿
乕	7	吕	厈	5	卩	2	HQB	?/?	丿
乖	8	+	千	3	北	5	HJLP	/	丿
乗	9	+	禾	5	廿	4	HDT	/*	丿
乘	10	+	禾	5	北	5	HDLP	/	丿
乙	1	一	乙	1	*	0	NU	/	*
乚	1	一	乚	1	*	0	LU	/	乙
乛	1	一	乛	1	*	0	MH	/	乙
乜	2	一	乜	2	*	0	PS	/	乙
九	2	一	九	2	*	0	KN	/	乙
乞	3	吕	𠂉	2	乙	1	ON	?/	乙
也	3	+	乜	2	丨	1	PD	/	乙
习	3	一	习	3	*	0	SIM	/	乙
乡	3	一	乡	3	*	0	VVH	/	乙
乢	4	吅	山	3	乚	1	UU	/	乙
乣	4	吅	幺	3	乚	1	VIU	/	乙
乤	4	吕	下	3	乙	1	MYN	/	乙
乥	4	吕	乊	3	乙	1	HCN	/	乙
书	4	一	书	4	*	0	IDS	/	乙
乧	5	吕	斗	4	乙	1	YJN	/	乙
乨	6	吅	台	5	乚	1	IRU	/	乙
乩	6	吅	占	5	乚	1	YRU	/	乙
乪	6	吅	乙	1	田	5	NW	/	乙
乫	6	吕	加	5	乙	1	KRN	/	乙
乬	5	吕	巨	4	乙	1	SSN	/	乙
乭	6	吕	石	5	乙	1	MRN	/	乙
乮	6	吕	卯	5	乙	1	HLN	/	乙
乯	6	吕	乎	5	乙	1	HFDN	/	乙
买	6	吕	乛	1	头	5	NYK	/	乙
乱	7	吅	舌	6	乚	1	HRU	/	乙
乲	7	吕	次	6	乙	1	ION	/	乙
乳	8	吅	孚	7	乚	1	BDU	/	乙
乴	8	吕	折	7	乙	1	QLN	/	乙
乵	8	吅	辛	7	乚	1	YJU	/	乙
乶	8	吕	甫	7	乙	1	IBN	/	乙
乷	8	吕	沙	7	乙	1	EHN	/	乙
乸	8	吅	也	3	母	5	PDWYI	/	乙
乹	9	吅	𠦝	8	乚	1	JJU	?/	乙
乺	9	吕	所	8	乙	1	HLN	/	乙
乻	9	吕	於	8	乙	1	YYN	/	乙
乼	9	吕	注	8	乙	1	EGN	/	乙
乽	9	吕	者	8	乙	1	JAN	/	乙
乾	10	吅	車	7	乞	3	JJON	/	乙
乿	11	吅	爫糸	10	乚	1	BFU	?/	乙
亀	11	一	亀	11	*	0	NWLU	/	乙
亁	12	吅	十日干	9	乞	3	JJON	?/	乙
亂	13	吅	𤔔	12	乚	1	BBU	/	乙
亃	13	吅	粦	12	乚	1	FQU	/	乙
亄	13	吅	壹	12	乚	1	GTU	/	乙
亅	1	一	亅	1	*	0	LI	/	*
了	2	一	了	2	*	0	NN	/	亅
亇	3	吕	人*	2	亅	1	ON	?/	亅
予	4	吕	龴	2	丁	2	NINN	/	亅
争	6	吕	𠂊	2	肀	4	NSD	?/	亅
亊	7	+	丁丷	3	肀	4	JFLN	?/?	亅
事	8	一	事	8	*	0	JLLN	/	亅
二	2	一	二	2	*	0	MM	/	*
亍	3	吕	二	2	亅	1	MMN	/	二
于	3	+	二	2	亅	1	MD	/	二
亏	3	吕	一	1	丂	2	MMVS	/	二
亐	3	一	亐	3	*	0	MKS	/	二
云	4	吕	二	2	厶	2	MMI	/	二
互	4	吕	一	1	彑	3	MVNM	/	二
亓	4	吕	二	2	儿*	2	MML	/?	二
五	4	一	五	4	*	0	MDM	/	二
井	4	一	井	4	*	0	TT	/	二
亖	4	吕	二	2	*	2	MMMM	/	二
亗	5	吕	山	3	二	2	UMM	/	二
亘	6	回	二	2	日	4	MAM	/	二
亙	6	回	二	2	匀	4	MBM	/	二
亚	6	一	亚	6	*	0	MTC	/	二
些	8	吕	此	6	二	2	YPMM	/	二
亜	7	一	亜	7	*	0	MLLM	/	二
亝	8	吕	厽	6	二	2	IIIM	/	二
亞	8	一	亞	8	*	0	MLLM	/	二
亟	8	回	二	2	口勹 又	6	NEM	/?	二
亠	2	一	亠	2	*	0	IM	/	*
