,image_path,perimetric_complexity,pixel_complexity
0,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/一_Simplified_一.png,2.9885761536144786,2.0
1,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/丁_Simplified_丁.png,151.65862284538778,650.0
2,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/七_Simplified_七.png,181.71339967617,750.0
3,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/万_Simplified_万.png,246.75997554137277,988.0
4,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/丈_Simplified_丈.png,243.63352489673372,876.0
5,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/三_Simplified_三.png,168.51060949354124,743.0
6,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/上_Simplified_上.png,157.83998772162042,702.0
7,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/下_Simplified_下.png,170.28087544770926,699.0
8,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/不_Simplified_不.png,221.98564488653943,798.0
9,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/与_Simplified_与.png,233.7458497980965,1006.0
10,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/丑_Simplified_丑.png,288.9251494212533,1270.0
11,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/专_Simplified_专.png,277.13061964315347,1093.0
12,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/且_Simplified_且.png,318.70779808542403,1441.0
13,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/世_Simplified_世.png,292.9335748057467,1324.0
14,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/丘_Simplified_丘.png,253.45579975958833,1116.0
15,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/丙_Simplified_丙.png,315.93914754217894,1288.0
16,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/业_Simplified_业.png,260.1639168687758,1083.0
17,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/丛_Simplified_丛.png,269.3870825643053,981.0
18,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/东_Simplified_东.png,278.51884919662103,1072.0
19,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/丝_Simplified_丝.png,324.6826602438463,1163.0
20,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/丟_Simplified_丟.png,323.954916813938,1329.0
21,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/丢_Simplified_丢.png,316.2868568724851,1290.0
22,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/两_Simplified_两.png,385.392255571686,1579.0
23,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/严_Simplified_严.png,241.22662172974916,998.0
24,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/並_Simplified_並.png,317.1480335335094,1312.0
25,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/丧_Simplified_丧.png,330.31643483556104,1270.0
26,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/个_Simplified_个.png,154.48729510306904,483.0
27,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/丫_Simplified_丫.png,110.20605331404457,364.0
28,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/中_Simplified_中.png,238.77779783692534,1085.0
29,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/丰_Simplified_丰.png,236.38930846910566,1069.0
30,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/串_Simplified_串.png,362.7874444728021,1650.0
31,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/临_Simplified_临.png,349.3559075676432,1480.0
32,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/丸_Simplified_丸.png,249.5551824751486,954.0
33,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/丹_Simplified_丹.png,261.95605645513126,1109.0
34,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/为_Simplified_为.png,254.80074010342534,934.0
35,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/主_Simplified_主.png,239.19532606470585,1062.0
36,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/丽_Simplified_丽.png,369.5414166096615,1571.0
37,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/举_Simplified_举.png,311.76142205415346,1199.0
38,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/乃_Simplified_乃.png,255.3481996278907,990.0
39,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/久_Simplified_久.png,215.49875341783797,672.0
40,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/么_Simplified_么.png,234.01689061818698,712.0
41,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/义_Simplified_义.png,234.20864563861332,717.0
42,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/之_Simplified_之.png,219.5440878671468,767.0
43,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/乌_Simplified_乌.png,269.64606925351916,1143.0
44,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/乍_Simplified_乍.png,211.1130872594936,882.0
45,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/乎_Simplified_乎.png,235.00473341331698,958.0
46,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/乏_Simplified_乏.png,271.1671604801549,1020.0
47,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/乐_Simplified_乐.png,260.9727686313049,1013.0
48,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/乒_Simplified_乒.png,244.6813275667111,1032.0
49,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/乔_Simplified_乔.png,287.9533440015052,1090.0
50,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/乖_Simplified_乖.png,314.1666304768882,1338.0
51,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/乘_Simplified_乘.png,394.66313183053614,1546.0
52,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/乙_Simplified_乙.png,241.1819093249587,862.0
53,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/九_Simplified_九.png,205.98186412604412,819.0
54,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/乞_Simplified_乞.png,270.24193804506757,1006.0
55,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/也_Simplified_也.png,282.9941004918753,1171.0
56,C:/Users/Jerome/Documents/hanzi_data/images/Hiragino Sans GB_stretched_lee/习_Simplified_习.png,253.5073521632471,989.0
