,rendered_character,period,image_ID,dataset,SVG description length
0,酱,Simplified,酱,SimSun,4053
1,巫,Traditional,巫,SimSun,2662
2,磅,Traditional,磅,SimSun,3639
3,搭,Traditional,搭,Hiragino Sans GB,2727
4,現,Traditional,20,traditional,5179
5,陋,Traditional,陋,Hiragino Sans GB,2358
6,朗,Traditional,朗,Hiragino Sans GB,2426
7,颓,Simplified,110,casia,5664
8,不,Traditional,不,Hiragino Sans GB,1716
9,裁,Traditional,裁,SimSun,3952
10,瞻,Simplified,123,casia,5571
11,次,Seal,S06339,hzy,2329
12,森,Traditional,森,SimSun,3769
13,括,Simplified,13,casia,4168
14,羞,Traditional,羞,SimSun,3560
15,炼,Seal,S07325,hzy,3418
16,綽,Traditional,綽,SimSun,3340
17,負,Traditional,負,Hiragino Sans GB,2583
18,绿,Seal,S09661,hzy,4090
19,墓,Traditional,墓,SimSun,3218
20,小,Simplified,小,Hiragino Sans GB,1723
21,赢,Seal,S04546,hzy,4566
22,劵,Seal,S10392,hzy,4060
23,炭,Simplified,炭,SimSun,3458
24,简,Simplified,53,casia,4409
25,祷,Simplified,祷,Hiragino Sans GB,2739
26,毋,Simplified,毋,Hiragino Sans GB,2761
27,棚,Simplified,棚,Hiragino Sans GB,2638
28,罕,Simplified,罕,Hiragino Sans GB,1510
29,哦,Traditional,哦,Hiragino Sans GB,2744
30,教,Traditional,教,Hiragino Sans GB,4177
31,槐,Traditional,槐,SimSun,3942
32,给,Seal,S09632,hzy,3536
33,扔,Oracle,J25933,hzy,1975
34,菁,Seal,S00327,hzy,3447
35,脂,Seal,S03097,hzy,2971
36,劫,Traditional,40,traditional,5153
37,璧,Simplified,31,casia,5014
38,誤,Traditional,16,traditional,5815
39,炖,Simplified,炖,SimSun,2434
40,邓,Simplified,133,casia,3215
41,移,Traditional,移,SimSun,3730
42,卒,Simplified,56,casia,3128
43,咕,Traditional,43,traditional,4230
44,鼻,Seal,S02548,hzy,3448
45,似,Simplified,98,casia,3544
46,洙,Simplified,洙,SimSun,2735
47,鼾,Seal,S02550,hzy,3581
48,延,Traditional,延,SimSun,3047
49,噱,Traditional,35,traditional,6504
50,消,Simplified,消,Hiragino Sans GB,2035
51,伏,Traditional,33,traditional,3661
52,钾,Simplified,100,casia,5396
53,缴,Simplified,缴,Hiragino Sans GB,4066
54,乞,Traditional,乞,Hiragino Sans GB,2028
55,迅,Traditional,迅,SimSun,2494
56,族,Seal,S04904,hzy,3152
57,离,Seal,S10929,hzy,3582
58,量,Bronze,B12682,hzy,3916
59,翁,Traditional,翁,SimSun,4145
60,佣,Simplified,102,casia,5515
61,爆,Traditional,35,traditional,7282
62,乱,Simplified,乱,Hiragino Sans GB,1690
