,rendered_character,simplified_character,period,image_id,distinctiveness,nearest neighbours,perimetric_complexity,pixel_complexity
0,前,前,Bronze,B01803,105.33372365195018,"['古', '丹', '井', '方', '禹', '匀', '至', '台', '卓', '引']",24.44707535046263,8730.0
1,祭,祭,Bronze,B00236,122.57713572848816,"['限', '坯', '料', '上', '黍', '祝', '三', '沈', '厂', '祠']",38.78678797869534,13327.0
2,侄,侄,Bronze,B16981,132.6495232714331,"['动', '基', '谋', '翟', '星', '万', '羽', '卑', '庆', '童']",24.635740516406713,9915.0
3,县,县,Bronze,B13840,118.22416993030686,"['知', '加', '智', '巨', '品', '上', '功', '保', '壬', '卜']",38.1457000229872,14291.0
4,梁,梁,Bronze,B08733,127.0911242478874,"['鹿', '报', '执', '韩', '邦', '拜', '秉', '虞', '扑', '束']",34.24233719925595,11474.0
5,昱,昱,Bronze,B09978,123.782498628532,"['曼', '祗', '量', '步', '妻', '谓', '贤', '军', '毕', '监']",26.16212354925605,12244.0
6,酌,酌,Bronze,B21355,134.44606291309438,"['配', '绝', '连', '辞', '勒', '昱', '曾', '戏', '槃', '懈']",47.909344304482545,18345.0
7,两,两,Bronze,B11991,121.72520035010164,"['尚', '向', '安', '来', '宋', '常', '盾', '宗', '布', '元']",37.77584238474584,13321.0
8,寇,寇,Bronze,B04698,121.63936572398006,"['藏', '宇', '官', '宵', '原', '偿', '宾', '家', '安', '宗']",39.975887523833826,13783.0
9,淮,淮,Bronze,B15516,120.9151110941958,"['限', '棘', '流', '待', '黍', '保', '津', '汪', '唯', '搏']",38.20463229336761,13168.0
10,监,监,Bronze,B12685,120.39326254085223,"['语', '临', '犹', '彪', '霸', '宴', '宠', '曼', '听', '虑']",31.535570321948445,12121.0
11,丽,丽,Bronze,B14725,143.2543914326012,"['迈', '遣', '然', '言', '坠', '鹿', '忠', '慈', '育', '愚']",34.04943710464487,14197.0
12,午,午,Bronze,B21230,82.29128984293229,"['功', '工', '厂', '壬', '上', '乙', '牙', '于', '氏', '尺']",16.387957298751022,5556.0
13,非,非,Bronze,B16029,104.70489607214432,"['伐', '北', '化', '禹', '天', '行', '于', '夫', '戎', '六']",29.5134140977311,9919.0
14,宣,宣,Bronze,B11282,112.59214895869768,"['宫', '官', '富', '尝', '卫', '怀', '原', '家', '肯', '宜']",39.812286050829016,13467.0
15,津,津,Bronze,B15595,130.2488918515432,"['淮', '流', '雍', '海', '冲', '渴', '测', '浮', '搏', '糯']",43.74426671947914,15019.0
16,绩,绩,Bronze,B18294,137.60414824647796,"['广', '慎', '裔', '傧', '实', '育', '密', '燮', '奔', '期']",34.281012882165506,13024.0
17,事,事,Bronze,B04281,114.21960104213257,"['吏', '孝', '敖', '梅', '史', '昧', '虞', '喜', '李', '或']",24.91684661481767,9219.0
18,孝,孝,Bronze,B13126,110.87568885483094,"['季', '昧', '李', '事', '何', '吏', '华', '喜', '秉', '老']",31.78787325957141,10956.0
19,俾,俾,Bronze,B12361,116.20009954730912,"['卑', '毕', '某', '果', '彼', '虔', '得', '翟', '乙', '斗']",24.768915316001937,9798.0
20,勿,勿,Bronze,B14434,124.39643511418171,"['均', '多', '饕', '青', '四', '气', '身', '伏', '考', '免']",26.166737188980175,7544.0
21,格,格,Bronze,B08672,112.72173360762342,"['松', '和', '邦', '林', '蚊', '加', '拜', '庄', '枚', '杨']",33.701405303366876,12071.0
22,禄,禄,Bronze,B00168,116.83032730732548,"['录', '敌', '帝', '屈', '伏', '尝', '坪', '应', '龙', '傧']",37.03907322131857,11956.0
23,庙,庙,Bronze,B14344,115.12989570885132,"['室', '宋', '厂', '马', '家', '录', '上', '备', '尝', '安']",41.82232414212041,14299.0
24,责,责,Bronze,B09621,117.97198730383072,"['商', '昼', '卖', '麦', '敖', '亿', '尔', '画', '枣', '赎']",31.6600049494801,12022.0
25,绥,绥,Bronze,B18295,118.32324374036872,"['妾', '勇', '且', '皮', '卜', '帛', '引', '孔', '高', '冬']",24.176669159731947,9209.0
26,奎,奎,Bronze,B14987,135.62488319692392,"['壶', '奢', '蔡', '杀', '枣', '华', '梅', '磷', '麦', '马']",37.9074696937513,13040.0
27,妻,妻,Bronze,B16814,117.21527291197523,"['祗', '害', '谓', '胃', '史', '割', '对', '博', '毕', '昱']",29.004851357560074,11373.0
28,录,录,Bronze,B10941,106.83044401010656,"['禄', '任', '队', '脐', '鸟', '家', '安', '帝', '实', '傧']",32.6176341853639,10067.0
29,退,退,Bronze,B02386,122.131033577016,"['复', '衡', '边', '进', '侧', '覆', '使', '逃', '过', '陆']",35.449029566137646,12705.0
30,然,然,Bronze,B14851,126.52720816265916,"['顶', '荐', '虽', '雷', '诈', '恕', '无', '彪', '浅', '嘉']",40.191879113890906,14814.0
31,建,建,Bronze,B02527,122.72282778524476,"['博', '脐', '疆', '强', '对', '亿', '寓', '安', '传', '搏']",42.06691932465249,15394.0
32,尺,尺,Bronze,B13221,87.70390964742069,"['终', '口', '人', '氏', '廿', '午', '厂', '乙', '上', '纪']",14.739020747371741,5087.0
33,笋,笋,Bronze,B06425,132.1113629692729,"['省', '智', '箭', '昌', '慕', '待', '固', '晨', '闻', '苛']",40.41091139772452,14544.0
34,恕,恕,Bronze,B15368,118.21886902237551,"['忠', '谋', '恐', '河', '童', '夸', '黑', '奢', '婚', '去']",27.860316650523558,8575.0
35,敬,敬,Bronze,B14217,121.42507233670564,"['留', '爽', '亟', '伐', '戟', '上', '兀', '唯', '播', '唬']",32.37253850021035,11156.0
36,贸,贸,Bronze,B09618,127.98829278639356,"['虞', '敖', '留', '羽', '养', '蜀', '戚', '邵', '务', '栽']",32.123560800745516,11320.0
37,朋,朋,Bronze,B09698,126.60830079807803,"['吾', '羞', '威', '仪', '秉', '铺', '身', '淑', '唯', '早']",30.929608529939618,11578.0
38,旦,旦,Bronze,B10010,89.51963723783125,"['日', '巳', '吕', '纪', '伯', '口', '玄', '氏', '己', '免']",27.397286939467513,9376.0
39,奚,奚,Bronze,B15236,122.56965003217732,"['为', '觅', '彼', '马', '真', '虔', '解', '圣', '期', '受']",21.172645016914387,7772.0
40,几,几,Bronze,B05890,139.74072621150512,"['兽', '敬', '乐', '幽', '药', '讯', '维', '骆', '替', '骄']",38.67101859048749,13733.0
41,连,连,Bronze,B02195,130.1507675447839,"['辅', '羽', '配', '敖', '辞', '船', '务', '戏', '恕', '酌']",36.42768920854135,13077.0
42,渔,渔,Bronze,B16006,126.63140238969338,"['辟', '我', '堇', '磷', '无', '寓', '冉', '蔑', '祖', '录']",40.050465017703914,14542.0
43,裔,裔,Bronze,B12782,121.36546599764807,"['尝', '衡', '颜', '受', '俗', '磷', '裘', '客', '敌', '应']",32.73587236049026,11705.0
44,傧,傧,Bronze,B12297,112.08388863176108,"['实', '家', '尝', '固', '录', '宫', '富', '室', '密', '买']",35.155923986753265,12412.0
45,所,所,Bronze,B19475,123.66840552225804,"['永', '伊', '匹', '亚', '陨', '皮', '彤', '狐', '毋', '侯']",31.655057406527366,10911.0
46,产,产,Bronze,B09335,147.9383590968451,"['鼓', '慈', '观', '诈', '惧', '鲍', '城', '早', '翼', '矛']",36.50105724679047,12680.0
47,同,同,Bronze,B11957,103.91299766335968,"['自', '丹', '君', '凡', '皮', '免', '引', '吉', '公', '吕']",27.138375323200055,9610.0
48,涂,涂,Bronze,B15497,129.1023683639068,"['怀', '搏', '达', '寓', '俗', '宁', '裘', '安', '盛', '工']",43.14571084415477,14060.0
49,门,门,Bronze,B16185,119.23240957829,"['启', '姑', '用', '周', '狐', '申', '奴', '丹', '昌', '丁']",37.544685230146676,14083.0
50,祸,祸,Bronze,B00349,129.27197701945326,"['送', '棘', '傅', '俗', '庄', '劳', '减', '便', '政', '沙']",33.73469958220709,10652.0
51,外,外,Bronze,B10565,109.14943737360606,"['仔', '网', '夕', '北', '丘', '于', '幻', '兑', '非', '丑']",26.424141029214336,8937.0
52,引,引,Bronze,B18072,93.4903209477376,"['免', '辛', '气', '尸', '至', '才', '允', '父', '子', '吕']",18.161495690636247,6022.0
53,汉,汉,Bronze,B15503,145.24822142543564,"['然', '较', '嘉', '舞', '辞', '惧', '静', '药', '无', '遗']",53.32865764440416,18290.0
54,闾,闾,Bronze,B16201,141.80266135938018,"['遗', '糯', '剩', '锡', '惧', '招', '眉', '始', '礼', '辞']",33.44907841363914,13378.0
55,智,智,Bronze,B05395,120.08892684137184,"['知', '县', '巨', '昌', '怀', '百', '边', '闻', '固', '廿']",35.33435671836358,12094.0
56,夷,夷,Bronze,B15001,106.99757594885833,"['黄', '何', '焦', '来', '季', '及', '卓', '鸟', '李', '辛']",33.150464407035564,12077.0
57,陨,陨,Bronze,B19750,115.7562304487788,"['限', '厂', '卜', '育', '尺', '实', '上', '廿', '录', '口']",27.74162537456033,12522.0
58,单,单,Bronze,B01707,116.41978356357762,"['毕', '孔', '乐', '星', '幼', '留', '吕', '量', '子', '爪']",28.16172829443626,11318.0
59,不,不,Bronze,B16052,97.60347552345984,"['朱', '兄', '千', '斗', '子', '五', '牙', '木', '干', '采']",25.608773913731525,9268.0
60,松,松,Bronze,B08624,117.06929923450484,"['格', '和', '野', '拜', '庄', '黍', '林', '邦', '蚊', '柳']",35.12454809403324,11599.0
61,对,对,Bronze,B03321,113.92913204378128,"['博', '祗', '革', '潘', '亿', '焦', '脐', '史', '鸟', '缶']",36.270088091689644,12400.0
62,地,地,Bronze,B18681,129.52657956655318,"['深', '陨', '怀', '达', '狱', '尝', '厉', '闻', '陆', '府']",36.60631014444275,12293.0
63,永,永,Bronze,B15831,115.00680446954192,"['免', '而', '仁', '宕', '坯', '兑', '坪', '录', '厂', '征']",29.44754037862681,9433.0
64,襄,襄,Bronze,B12785,137.20246784996976,"['寒', '诃', '深', '怀', '蛮', '剑', '夺', '镐', '鲁', '辞']",45.07024907056641,15027.0
65,戒,戒,Bronze,B03380,121.61839950736932,"['弄', '夸', '梅', '缶', '志', '乘', '天', '伏', '夹', '杀']",29.745117051737374,9852.0
66,焦,焦,Bronze,B14859,108.91521146655607,"['鸟', '象', '堇', '夷', '各', '爰', '何', '盅', '适', '承']",30.92013193943699,10735.0
67,戚,戚,Bronze,B17601,113.37599404350097,"['伐', '堇', '孙', '队', '成', '何', '敏', '虎', '栽', '哦']",22.963108957418353,7014.0
68,犹,犹,Bronze,B14805,122.86230411461652,"['饭', '监', '节', '饲', '语', '钦', '要', '缄', '录', '秦']",38.50467520719341,14940.0
69,公,公,Bronze,B01058,99.85659874387406,"['兮', '分', '今', '方', '八', '少', '朱', '丹', '以', '立']",26.388351615729825,8818.0
70,旗,旗,Bronze,B10052,122.6112147002468,"['旋', '卜', '族', '备', '叔', '志', '养', '折', '宾', '报']",32.57510675521457,10876.0
71,北,北,Bronze,B12614,95.96674166925928,"['化', '六', '丘', '弋', '休', '非', '于', '千', '才', '甲']",24.364128411913338,8164.0
72,绍,绍,Bronze,B18225,125.8042519760199,"['乙', '为', '实', '人', '禽', '尺', '受', '佩', '乐', '肯']",37.71312450719922,13667.0
73,员,员,Bronze,B09436,124.6200546122213,"['得', '禽', '良', '俱', '祖', '页', '均', '买', '蔑', '具']",32.345934579122535,12359.0
74,铃,铃,Bronze,B19270,122.41408444582667,"['钦', '秦', '朔', '初', '羞', '金', '裘', '舍', '潘', '钧']",40.3077907565195,13920.0
75,炎,炎,Bronze,B14892,120.54395731648462,"['荣', '禾', '诸', '若', '营', '诺', '劳', '忧', '涉', '备']",28.830121740605716,9345.0
76,威,威,Bronze,B16962,109.33298019200876,"['成', '羞', '何', '蔑', '队', '搏', '真', '当', '步', '脐']",35.638476918527196,12883.0
77,功,功,Bronze,B19047,75.22002848851525,"['壬', '工', '上', '午', '玉', '乙', '王', '土', '口', '三']",18.212393873907793,6632.0
78,颐,颐,Bronze,B16283,115.62646019313586,"['步', '备', '鸟', '何', '录', '齿', '脐', '唯', '戚', '志']",29.1104267203002,10523.0
79,易,易,Bronze,B14514,115.1139101357661,"['卯', '巳', '州', '以', '正', '次', '反', '至', '父', '口']",24.053598309282368,7731.0
80,夫,夫,Bronze,B15243,102.35594727651186,"['天', '矢', '大', '亦', '央', '赤', '蔡', '方', '位', '朱']",23.656968692198852,7950.0
81,劳,劳,Bronze,B19050,119.63207597444084,"['荣', '萃', '慎', '速', '涉', '为', '营', '棘', '炎', '蜀']",35.97115573838757,11316.0
82,狄,狄,Bronze,B14799,117.11409651887982,"['衣', '兑', '年', '冰', '哀', '耿', '水', '裘', '升', '休']",31.145381862594903,9889.0
83,翟,翟,Bronze,B05446,121.5088712884814,"['奄', '羽', '愚', '俾', '忠', '受', '虔', '奠', '神', '卑']",30.609684452599748,11327.0
84,典,典,Bronze,B06776,136.6161055842037,"['异', '册', '兴', '圣', '见', '丰', '若', '蔑', '渔', '巩']",35.71492115866374,13726.0
85,可,可,Bronze,B07110,113.85427996090962,"['吁', '司', '尚', '氏', '盾', '古', '前', '方', '旬', '辛']",24.72895627922503,8369.0
86,剩,剩,Bronze,B09525,139.3920047436738,"['蒙', '要', '嘉', '越', '眉', '闾', '辞', '买', '举', '乌']",37.46774651402626,13484.0
87,出,出,Bronze,B09243,105.43147915164596,"['生', '性', '省', '止', '毛', '在', '父', '肖', '吕', '曰']",27.070839016792593,8958.0
88,卑,卑,Bronze,B04168,110.1231431034128,"['胃', '谓', '史', '吏', '俾', '果', '虔', '堇', '华', '男']",27.32365332831505,10547.0
89,霸,霸,Bronze,B10417,129.19686998072234,"['辞', '监', '婚', '报', '龚', '要', '雷', '饭', '听', '彪']",38.57420871621789,12569.0
90,维,维,Bronze,B18283,125.36038686668334,"['兽', '参', '救', '辨', '我', '星', '婴', '竞', '邦', '是']",32.45199104899771,12147.0
91,衍,衍,Bronze,B15553,129.6929411680865,"['沙', '黍', '涉', '沈', '送', '冰', '棘', '堵', '减', '渴']",42.30208827902804,12818.0
92,戮,戮,Bronze,B17508,141.77998591952976,"['陨', '地', '妇', '育', '鄂', '举', '陆', '祭', '傅', '俱']",36.44226043725678,13677.0
93,异,异,Bronze,B03479,123.10432067384696,"['毕', '丰', '药', '若', '解', '兴', '圣', '牢', '畏', '乐']",35.864700742323876,14330.0
94,芮,芮,Bronze,B00763,102.0499005913444,"['内', '纳', '丙', '川', '字', '陶', '免', '宅', '终', '宋']",29.53406110285504,9950.0
95,锡,锡,Bronze,B19149,135.18428178211417,"['乐', '慈', '星', '晨', '幽', '迈', '药', '还', '然', '遗']",54.18749116314221,18055.0
96,傅,傅,Bronze,B12301,113.69810125557692,"['便', '休', '待', '限', '俗', '任', '佩', '逢', '视', '终']",28.132462974346286,11326.0
97,放,放,Bronze,B05939,121.02213461580727,"['栽', '伐', '我', '葬', '攻', '或', '播', '务', '哦', '敖']",37.49309973393923,12619.0
98,俱,俱,Bronze,B12300,119.73105714081942,"['边', '晨', '具', '祖', '承', '鸣', '共', '员', '皮', '洛']",34.563399419373674,12614.0
99,慕,慕,Bronze,B15407,122.95109950068,"['晨', '边', '鹿', '使', '卫', '苛', '解', '齿', '虞', '稣']",37.44446038543378,11607.0
100,玉,玉,Bronze,B00545,82.33061264901734,"['王', '壬', '工', '功', '三', '于', '士', '上', '五', '牙']",25.487456595330208,9002.0
101,减,减,Bronze,B15627,120.24706894507445,"['旧', '待', '送', '龟', '怀', '堵', '闻', '傅', '洛', '边']",44.69719710592538,14750.0
102,页,页,Bronze,B13616,118.0361696315486,"['皇', '彼', '得', '节', '惠', '恵', '季', '解', '喜', '马']",23.13014705231274,8929.0
103,谁,谁,Bronze,B03123,121.92697927069912,"['好', '虽', '唯', '许', '队', '备', '丁', '讼', '辨', '十']",36.9666406859058,13422.0
104,再,再,Bronze,B05812,120.81407509256084,"['伏', '屈', '匀', '丹', '敌', '只', '桐', '禄', '百', '适']",41.11627366799591,14298.0
105,莫,莫,Bronze,B00836,146.65568049592326,"['鄂', '荒', '环', '春', '礼', '息', '炎', '诸', '慕', '茅']",41.67022859528997,12893.0
