participantid,condition,trialnum,character,rating,flip,controlscore
1,traditional,1,玉,2,noflip,4
1,traditional,2,帝,3,noflip,4
1,traditional,3,仓,0,flip,4
1,traditional,4,control_匜_也,3,flip,4
1,traditional,5,巳,2,noflip,4
1,traditional,6,女,0,noflip,4
1,traditional,7,兆,4,noflip,4
1,traditional,8,山,2,noflip,4
1,traditional,9,京,2,flip,4
1,traditional,10,以,2,flip,4
1,traditional,11,大,2,noflip,4
1,traditional,12,高,1,flip,4
1,traditional,13,壬,2,flip,4
1,traditional,14,口,2,flip,4
1,traditional,15,面,2,noflip,4
1,traditional,16,戈,2,noflip,4
1,traditional,17,蜀,2,flip,4
1,traditional,18,雨,3,flip,4
1,traditional,19,control_卡_上,2,noflip,4
1,traditional,20,卯,1,noflip,4
1,traditional,21,而,1,flip,4
1,traditional,22,井,2,flip,4
1,traditional,23,土,2,noflip,4
1,traditional,24,丙,2,noflip,4
1,traditional,25,丹,2,flip,4
1,traditional,26,日,3,flip,4
1,traditional,27,巴,2,noflip,4
1,traditional,28,尸,2,flip,4
1,traditional,29,control_乇_七,3,flip,4
1,traditional,30,宫,2,noflip,4
1,traditional,31,control_咫_只,3,noflip,4
1,traditional,32,首,2,noflip,4
1,traditional,33,易,2,noflip,4
1,traditional,34,永,2,flip,4
1,traditional,35,自,2,noflip,4
1,traditional,36,己,2,flip,4
1,traditional,37,向,2,noflip,4
1,traditional,38,卜,2,flip,4
1,traditional,39,午,2,flip,4
1,traditional,40,豆,1,noflip,4
1,traditional,41,角,1,noflip,4
1,traditional,42,鬼,1,flip,4
1,traditional,43,control_刓_元,3,noflip,4
1,traditional,44,气,4,flip,4
1,traditional,45,羽,2,flip,4
1,traditional,46,斤,2,noflip,4
1,traditional,47,壶,4,noflip,4
1,traditional,48,犬,2,flip,4
1,traditional,49,鼠,2,noflip,4
1,traditional,50,若,2,noflip,4
1,traditional,51,黄,1,flip,4
1,traditional,52,勿,2,noflip,4
1,traditional,53,又,3,noflip,4
1,traditional,54,句,2,flip,4
1,traditional,55,庚,1,noflip,4
2,traditional,1,兆,4,flip,5
2,traditional,2,秋,1,noflip,5
2,traditional,3,田,2,noflip,5
2,traditional,4,止,1,noflip,5
2,traditional,5,斗,1,flip,5
2,traditional,6,大,1,flip,5
2,traditional,7,水,3,noflip,5
2,traditional,8,乃,2,flip,5
2,traditional,9,才,3,flip,5
2,traditional,10,control_卡_上,3,flip,5
2,traditional,11,吕,2,noflip,5
2,traditional,12,乙,3,flip,5
2,traditional,13,以,2,flip,5
2,traditional,14,未,2,flip,5
2,traditional,15,山,1,flip,5
2,traditional,16,氏,2,flip,5
2,traditional,17,卜,2,flip,5
2,traditional,18,control_刓_元,4,noflip,5
2,traditional,19,门,1,noflip,5
2,traditional,20,东,1,flip,5
2,traditional,21,方,2,noflip,5
2,traditional,22,目,1,noflip,5
2,traditional,23,高,1,flip,5
2,traditional,24,缶,1,flip,5
2,traditional,25,月,2,flip,5
2,traditional,26,耳,1,flip,5
2,traditional,27,廾,1,flip,5
2,traditional,28,率,3,flip,5
2,traditional,29,不,1,flip,5
2,traditional,30,禾,1,noflip,5
